ROI,Structure,Abbreviation,c_R,c_G,c_B,c_A,Level_1,Level_2,Level_3,Level_4,Macrostructure
1,Cingulate_Cortex_Area_24a,A24a,255,0,0,255,forebrain,secondary_prosencephalon,isocortex,cingulate_cortex,isocortex
2,Cingulate_Cortex_Area_24a_prime,A24aPrime,255,124,0,255,forebrain,secondary_prosencephalon,isocortex,cingulate_cortex,isocortex
3,Cingulate_Cortex_Area_24b,A24b,255,248,0,255,forebrain,secondary_prosencephalon,isocortex,cingulate_cortex,isocortex
4,Cingulate_Cortex_Area_24b_prime,A24bPrime,138,255,0,255,forebrain,secondary_prosencephalon,isocortex,cingulate_cortex,isocortex
5,Cingulate_Cortex_Area_29a,A29a,14,255,0,255,forebrain,secondary_prosencephalon,isocortex,cingulate_cortex,isocortex
6,Cingulate_Cortex_Area_29b,A29b,0,255,110,255,forebrain,secondary_prosencephalon,isocortex,cingulate_cortex,isocortex
7,Cingulate_Cortex_Area_29c,A29c,0,255,224,255,forebrain,secondary_prosencephalon,isocortex,cingulate_cortex,isocortex
8,Cingulate_Cortex_Area_30,A30,0,172,255,255,forebrain,secondary_prosencephalon,isocortex,cingulate_cortex,isocortex
9,Cingulate_Cortex_Area_32,A32,0,59,255,255,forebrain,secondary_prosencephalon,isocortex,cingulate_cortex,isocortex
10,Primary_Auditory_Cortex,Au1,55,0,255,255,forebrain,secondary_prosencephalon,isocortex,medial_pallium,isocortex
11,Secondary_Auditory_Cortex_Dorsal_Part,AuD,169,0,255,255,forebrain,secondary_prosencephalon,isocortex,temporal_cortex,isocortex
12,Secondary_Auditory_Cortex_Ventral_Part,AuV,255,0,227,255,forebrain,secondary_prosencephalon,isocortex,temporal_cortex,isocortex
13,orsolateral_Orbital_Cortex,DLO,255,0,114,255,forebrain,secondary_prosencephalon,isocortex,frontal_cortex,isocortex
14,Frontal_Cortex_Area_3,Fr3,255,0,35,255,forebrain,secondary_prosencephalon,isocortex,frontal_cortex,isocortex
15,Frontal_Association_Cortex,FrA,255,134,0,255,forebrain,secondary_prosencephalon,isocortex,frontal_cortex,isocortex
16,Insular_Cortex,Ins,252,255,0,255,forebrain,secondary_prosencephalon,isocortex,insular_cortex,isocortex
17,Lateral_Orbital_Cortex,LO,81,0,255,255,forebrain,secondary_prosencephalon,isocortex,frontal_cortex,isocortex
18,Lateral_Parietal_Association_Cortex,LPtA,17,220,240,255,forebrain,secondary_prosencephalon,isocortex,parietal_cortex,isocortex
19,Primary_Motor_Cortex,M1,0,255,121,255,forebrain,secondary_prosencephalon,isocortex,frontal_cortex,isocortex
20,Secondary_Motor_Cortex,M2,0,255,234,255,forebrain,secondary_prosencephalon,isocortex,parietal_cortex,isocortex
21,Medial_Orbital_Cortex,MO,0,162,255,255,forebrain,secondary_prosencephalon,isocortex,frontal_cortex,isocortex
22,Medial_Parietal_Association_Cortex,MPtA,0,48,255,255,forebrain,secondary_prosencephalon,isocortex,parietal_cortex,isocortex
23,Parietal_Cortex_Posterior_Area_Rostral_Part,PtPR,65,0,255,255,forebrain,secondary_prosencephalon,isocortex,parietal_cortex,isocortex
24,Primary_Somatosensory_Cortex,S1,0,174,255,255,forebrain,secondary_prosencephalon,isocortex,frontal_cortex,isocortex
25,Primary_Somatosensory_Cortex_Barrel_Field,S1BF,255,0,217,255,forebrain,secondary_prosencephalon,isocortex,frontal_cortex,isocortex
26,Primary_Somatosensory_Cortex_Dysgranular_Zone,S1DZ,255,0,103,255,forebrain,secondary_prosencephalon,isocortex,insular_cortex,isocortex
27,Primary_Somatosensory_CortexForelimb_Region,S1FL,38,133,213,255,forebrain,secondary_prosencephalon,isocortex,frontal_cortex,isocortex
28,Primary_Somatosensory_Cortex_Hindlimb_Region,S1HL,255,145,0,255,forebrain,secondary_prosencephalon,isocortex,frontal_cortex,isocortex
29,Primary_Somatosensory_Cortex_Jaw_Region,S1J,241,255,0,255,forebrain,secondary_prosencephalon,isocortex,frontal_cortex,isocortex
30,Primary_Somatosensory_Cortex_Shoulder_Region,S1Sh,117,255,0,255,forebrain,secondary_prosencephalon,isocortex,frontal_cortex,isocortex
31,Primary_Somatosensory_Cortex_Trunk_Region,S1Tr,0,255,7,255,forebrain,secondary_prosencephalon,isocortex,frontal_cortex,isocortex
32,Primary_Somatosensory_Cortex_Upper_Lip_Region,S1ULp,0,255,131,255,forebrain,secondary_prosencephalon,isocortex,frontal_cortex,isocortex
33,Secondary_Somatosensory_Cortex,S2,242,217,24,255,forebrain,secondary_prosencephalon,isocortex,temporal_cortex,isocortex
34,Temporal_Association_Cortex,TeA,0,152,255,255,forebrain,secondary_prosencephalon,isocortex,frontal_cortex,isocortex
35,Primary_Visual_Cortex,V1,0,38,255,255,forebrain,secondary_prosencephalon,isocortex,occipital_cortex,isocortex
36,Primary_Visual_Cortex_Binocular_Area,V1B,255,162,0,255,forebrain,secondary_prosencephalon,isocortex,occipital_cortex,isocortex
37,Primary_Visual_Cortex_Monocular_Area,V1M,190,0,255,255,forebrain,secondary_prosencephalon,isocortex,occipital_cortex,isocortex
38,Secondary_Visual_CortexLateral_Area,V2L,255,0,207,255,forebrain,secondary_prosencephalon,isocortex,occipital_cortex,isocortex
39,Secondary_Visual_Cortex_Mediolateral_Area,V2ML,255,0,93,255,forebrain,secondary_prosencephalon,isocortex,occipital_cortex,isocortex
40,Secondary_Visual_Cortex_Mediomedial_Area,V2MM,255,31,0,255,forebrain,secondary_prosencephalon,isocortex,occipital_cortex,isocortex
41,Ventral_Orbital_Cortex,VO,255,155,0,255,forebrain,secondary_prosencephalon,isocortex,frontal_cortex,isocortex
42,Caudomedial_Entorhinal_Cortex,CEnt,231,255,0,255,forebrain,secondary_prosencephalon,temporal_cortex,dorsal_pallium,pallium
43,Dorsal_Intermediate_Entorhinal_Cortex,DIEnt,107,255,0,255,forebrain,secondary_prosencephalon,temporal_cortex,dorsal_pallium,pallium
44,Dorsolateral_Entorhinal_Cortex,DLEnt,255,46,0,255,forebrain,secondary_prosencephalon,temporal_cortex,dorsal_pallium,pallium
45,Medial_Entorhinal_Cortex,MEnt,0,255,141,255,forebrain,secondary_prosencephalon,temporal_cortex,dorsal_pallium,pallium
46,Ventral_Intermediate_Entorhinal_Cortex,VIEnt,0,255,255,255,forebrain,secondary_prosencephalon,temporal_cortex,dorsal_pallium,pallium
47,Claustrum,Cl,0,141,255,255,forebrain,secondary_prosencephalon,lateral_pallium,,pallium
48,Dorsal_Claustrum,DCl,0,28,255,255,forebrain,secondary_prosencephalon,lateral_pallium,,pallium
49,Posterolateral_Cortical_Amygdaloid_Area,PLCo,86,0,255,255,forebrain,secondary_prosencephalon,lateral_pallium,subpallial_amygdala,pallium
50,Ventral_Claustrum,VCl,200,0,255,255,forebrain,secondary_prosencephalon,lateral_pallium,,pallium
51,Hippocampus,Hc,127,127,255,255,forebrain,secondary_prosencephalon,medial_pallium,,pallium
52,Dorsal_Tenia_Tecta,DTT,59,59,247,255,forebrain,secondary_prosencephalon,medial_pallium,,pallium
53,Ectorhinal_Cortex,Ect,255,0,0,255,forebrain,secondary_prosencephalon,temporal_cortex,medial_pallium,pallium
54,Parasubiculum,PaS,255,165,0,255,forebrain,secondary_prosencephalon,medial_pallium,,pallium
55,Perirhinal_Cortex,PRh,59,59,247,255,forebrain,secondary_prosencephalon,temporal_cortex,medial_pallium,pallium
56,Presubiculum,PrS,96,255,0,255,forebrain,secondary_prosencephalon,medial_pallium,,pallium
57,Piriform_Cortex,Pir,31,170,170,255,forebrain,secondary_prosencephalon,ventral_pallium,pallium,pallium
58,Amygdalopiriform_Transition_Area,APir,0,255,152,255,forebrain,secondary_prosencephalon,lateral_pallium,ventral_pallium,pallium
59,Hypothalamus,Hyp,0,245,255,255,forebrain,secondary_prosencephalon,rostral_secondary_prosencephalon,hypothalamus,pallium
60,Preoptic_Telencephalon,Preoptic_Telencephalon,0,131,255,255,forebrain,secondary_prosencephalon,medial_pallium,rostral_secondary_prosencephalon,pallium
61,Subthalamic_Nucleus,Sthal,0,17,255,255,forebrain,secondary_prosencephalon,hypothalamus,caudal_secondary_prosencephalon,pallium
62,Septum,SPT,96,0,255,255,forebrain,secondary_prosencephalon,subpallium,subpallial_septum,subpallium
63,Globus_Pallidus,GP,210,0,255,255,forebrain,secondary_prosencephalon,subpallium,pallidum,subpallium
64,Striatum,Cpu,214,0,204,255,forebrain,secondary_prosencephalon,subpallium,striatum,subpallium
65,Amygdala,Amy,255,0,72,255,forebrain,secondary_prosencephalon,subpallium,subpallial_amygdala,subpallium
66,Accumbens,Acb,59,59,247,255,forebrain,secondary_prosencephalon,subpallium,paraseptal_subpallium,subpallium
67,Bed_Nucleus_of_the_Stria_Terminalis,BNst,255,176,0,255,forebrain,secondary_prosencephalon,subpallium,subpallial_amygdala,subpallium
68,Ventral_Pallidum,Vpal,210,255,0,255,forebrain,secondary_prosencephalon,subpallium,pallidum,subpallium
69,Periaquaductal_Grey,PAG,86,255,0,255,forebrain,p1,diencephalon,pretectum,diencephalon
70,Anterior_Pretectal_Nucleus,APT,0,255,38,255,forebrain,p1,diencephalon,pretectum,diencephalon
71,Ventral_Tegmental_Area,VTA,151,21,225,255,forebrain,p1,diencephalon,tegmentum,diencephalon
72,Thalamus_Rest,Thalamus_Rest,0,234,255,255,forebrain,diencephalon,thalamus,p2,diencephalon
73,Ventral_Thalamic_Nuclei,VT,0,121,255,255,forebrain,diencephalon,thalamus,p2,diencephalon
74,Latero_Dorsal_Nucleus_of_Thalamus,LDNT,0,7,255,255,forebrain,diencephalon,thalamus,p2,diencephalon
75,Medial_Geniculate_Nucleus,MGN,107,0,255,255,forebrain,diencephalon,thalamus,p2,diencephalon
76,Lateral_Geniculate_Nucleus,LGN,221,0,255,255,forebrain,diencephalon,thalamus,p2,diencephalon
77,Zona_Incerta,ZI,255,0,176,255,forebrain,diencephalon,p3,prethalamus,diencephalon
78,Reticular_Nucleus_of_Thalamus,RTN,127,127,255,255,forebrain,diencephalon,thalamus,p3,diencephalon
79,Subbrachial_Nucleus_and_Peripeduncular_Nucleus,Sub_PP,0,214,42,255,forebrain,midbrain_tectum,diencephalon,p3,diencephalon
80,Deep_Mesencephalic_Nuclei,DpMe,255,186,0,255,midbrain,p1,combo,pretectal_tegmentum,midbrain
81,Superior_Colliculus,SC,200,255,0,255,midbrain,midbrain_tectum,m1,,midbrain
82,Inferior_Colliculus,IC,76,255,0,255,midbrain,midbrain_tectum,m1,,midbrain
83,Substantia_Nigra,SN,0,255,48,255,midbrain,m1,midbrain_tegmentum,,midbrain
84,Red_Nucleus_Parvicellular,RPC,0,255,172,255,forebrain,p1,pretectal_tegmentum,diencephalon,midbrain
85,Midbrain_Reticular_Nucleus,MRN,0,224,255,255,midbrain,midbrain_tectum,m1,,midbrain
86,Rostral_Linear_Nucleus,RI,0,110,255,255,midbrain,m1,midbrain_tegmentum,,midbrain
87,Cuneiform_Nucleus,Cn,3,0,255,255,midbrain,midbrain_tectum,m2,,midbrain
88,Precuneiform_Nucleus,PrCn,117,0,255,255,midbrain,midbrain_tectum,m2,,midbrain
89,Brain_Stem_Rest,Brain_Stem_Rest,0,58,255,255,hindbrain,combo,,,hindbrain
90,Interpeduncular_Nucleus,Iped,255,0,165,255,hindbrain,prepontine_hindbrain,pons,isthmus,hindbrain
91,Cerebellar_Cortex,1Cb-10Cb,220,24,24,255,hindbrain,prepontine_hindbrain,isthmus,cerebellum,hindbrain
92,Dentate_(Lateral)_Nucleus_of_Cerebellum,Den,255,72,0,255,hindbrain,prepontine_hindbrain,isthmus,cerebellum,hindbrain
93,Interposed_Nucleus_of_Cerebellum,Int,255,196,0,255,hindbrain,prepontine_hindbrain,isthmus,cerebellum,hindbrain
94,Fastigial_Medial_Dorsolateral_Nucleus_of_Cerebellum,FasDL,190,255,0,255,hindbrain,prepontine_hindbrain,isthmus,cerebellum,hindbrain
95,Fastigial_Medial_Nucleus_of_Cerebellum,FasMed,65,255,0,255,hindbrain,prepontine_hindbrain,isthmus,cerebellum,hindbrain
96,Ventral_Lateral_Lemniscus_Nucleus,Vll,0,255,59,255,hindbrain,prepontine_hindbrain,pontomedullary_hindbrain,isthmus,hindbrain
97,Parabrachial_Nucleus,ParB,0,255,183,255,hindbrain,prepontine_hindbrain,pontomedullary_hindbrain,isthmus,hindbrain
98,Parabrachial_Medial_Nucleus_and_Koelliker_Fuse_Nucleus,KF,0,214,255,255,hindbrain,prepontine_hindbrain,pontomedullary_hindbrain,isthmus,hindbrain
99,Parvicellular_Reticular_Nucleus_and_Principal_Sensory_Trigeminal_Nucleus,PCRt_Pr5,0,100,255,255,hindbrain,prepontine_hindbrain,pontomedullary_hindbrain,r1r2,hindbrain
100,Central_Gray,CG,14,0,255,255,hindbrain,prepontine_hindbrain,pons,r1,hindbrain
101,Pedunculotegmental_Medial_Paralemniscial_and_Supratrigemnial_Nuclei,Su5,128,0,255,255,hindbrain,prepontine_hindbrain,pontomedullary_hindbrain,r1,hindbrain
102,Motor_Root_of_Trigeminal_Nerve,m5,241,0,255,255,white_matter_tracts,white_matter,hindbrain_white_matter,axial_hindbrain_white_matter,hindbrain
103,Trigeminal_Motor_Nucleus,5N,255,0,155,255,hindbrain,prepontine_hindbrain,pontomedullary_hindbrain,r2,hindbrain
104,Pontine_Reticular_Nucleus,PnC_PnO_PnV,235,229,121,255,hindbrain,prepontine_hindbrain,pontomedullary_hindbrain,r2,hindbrain
105,Raphe_Nucleus,Raphe_Nucleus,59,59,247,255,hindbrain,prepontine_hindbrain,pontomedullary_hindbrain,r1r2,hindbrain
106,Trigeminal_Sensory_Nucleus,Pr5,255,207,0,255,hindbrain,prepontine_hindbrain,pontomedullary_hindbrain,r1r2,hindbrain
107,Dorsal_Tegmentum,Dorsal_Tegmentum,55,255,0,255,hindbrain,prepontine_hindbrain,pons,r1r2,hindbrain
108,Tegmental_Nucleus,Tg,0,255,69,255,hindbrain,pontine_hindbrain,pons,r1,hindbrain
109,Cochlear_Nucleus,CoN,0,255,193,255,hindbrain,pontine_hindbrain,pons,r3,hindbrain
110,Pontine_Nucleus,Pn,0,203,255,255,hindbrain,pontine_hindbrain,pons,r3r4,hindbrain
111,Reticulotegmental_Nucleus_of_Pons,RTg,0,90,255,255,hindbrain,pontine_hindbrain,pons,r3r4,hindbrain
112,Olivary_Complex,Olivary_Complex,24,0,255,255,hindbrain,pontomedullary_hindbrain,pons,r5,hindbrain
113,Pontine_Reticular_Nucleus,PnRt,138,0,255,255,hindbrain,pontomedullary_hindbrain,pons,r5,hindbrain
114,Spinal_Trigeminal_Nucleus,Sp5,252,0,255,255,hindbrain,pontomedullary_hindbrain,pons,r9r6r7r8r10r3r4r5r11,hindbrain
115,Vestibular_Nuclei,Ve,255,0,145,255,hindbrain,pontomedullary_hindbrain,pons,r9r6r7r8r3r4r5,hindbrain
116,Gigantocellular_Reticular_Nucleus,Gi,255,0,31,255,hindbrain,r9r6r7r8r10,medullary_hindbrain,medulla,hindbrain
117,Cuneate_Nucleus,Cu,255,232,0,255,hindbrain,r9r10,medullary_hindbrain,medulla,white_matter
118,Anterior_Commisure,ac,255,104,0,255,white_matter_tracts,white_matter,forebrain_white_matter,prosencephalon_white_matter,white_matter
119,Optic_Tracts,ot,169,255,0,255,white_matter_tracts,white_matter,forebrain_white_matter,prosencephalon_white_matter,white_matter
120,Fimbria,fi,45,255,0,255,white_matter_tracts,white_matter,forebrain_white_matter,prosencephalon_white_matter,white_matter
121,Corpus_Callosum,cc,0,255,79,255,white_matter_tracts,white_matter,forebrain_white_matter,prosencephalon_white_matter,white_matter
122,Fornix,fx,255,162,0,255,white_matter_tracts,white_matter,forebrain_white_matter,prosencephalon_white_matter,white_matter
123,Stria_Terminalis,st,0,193,255,255,white_matter_tracts,white_matter,forebrain_white_matter,prosencephalon_white_matter,white_matter
124,Cingulum,cg,0,79,255,255,white_matter_tracts,white_matter,forebrain_white_matter,prosencephalon_white_matter,white_matter
125,Lateral_Olfactory_Tract,lo,34,0,255,255,white_matter_tracts,white_matter,forebrain_white_matter,prosencephalon_white_matter,white_matter
126,Ventral_Hippocampal_Commissure,vhc,148,0,255,255,white_matter_tracts,white_matter,forebrain_white_matter,prosencephalon_white_matter,white_matter
127,Internal_Capsule,ic,255,0,248,255,white_matter_tracts,white_matter,forebrain_white_matter,diencephalon_white_matter,white_matter
128,Fasciculus_Retroflexus,fr,255,0,134,255,white_matter_tracts,white_matter,forebrain_white_matter,diencephalon_white_matter,white_matter
129,Stria_Medularis,sm,31,148,58,255,white_matter_tracts,white_matter,forebrain_white_matter,diencephalon_white_matter,white_matter
130,Mamillothalamic_Tract,mt,255,103,0,255,white_matter_tracts,white_matter,forebrain_white_matter,diencephalon_white_matter,white_matter
131,Posterior_Commissure,pc,255,227,0,255,white_matter_tracts,white_matter,forebrain_white_matter,diencephalon_white_matter,white_matter
132,Brachium_of_Superior_Colliculus,bsc,159,255,0,255,white_matter_tracts,white_matter,midbrain_white_matter,colliculi_white_matter,white_matter
133,Cerebral_Peduncle,cp,34,255,0,255,white_matter_tracts,white_matter,midbrain_white_matter,other_midbrain_white_matter,white_matter
134,Lateral_Lemniscus,ll,0,255,90,255,white_matter_tracts,white_matter,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter
135,Spinal_Trigeminal_Nerve,sp5,0,255,214,255,white_matter_tracts,white_matter,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter
136,Pyramidal_Tract,py,0,183,255,255,white_matter_tracts,white_matter,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter
137,Vestibulocochlear_Nerve,n8,0,69,255,255,white_matter_tracts,white_matter,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter
138,Facial_Nerve,n7,235,223,18,255,white_matter_tracts,white_matter,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter
139,Longitudinal_Fasciculus_of_Pons,lfp,159,0,255,255,white_matter_tracts,white_matter,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter
140,Medial_Longitudinal_Fasciculus_and_Tectospinal_Tract,mlf_ts,255,0,238,255,white_matter_tracts,white_matter,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter
141,Spinocerebellar_Tract,sc,121,235,148,255,white_matter_tracts,white_matter,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter
142,Medial_Lemniscus,ml,127,127,255,255,white_matter_tracts,white_matter,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter
143,Ventral_Spinocerebellar_Tract,vsc,255,114,0,255,white_matter_tracts,white_matter,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter
144,Middle_Cerebellar_Peduncle,mcp,255,238,0,255,white_matter_tracts,white_matter,hindbrain_white_matter,cerebellar_white_matter,white_matter
145,Superior_Cerebellar_Peduncle,scp,148,255,0,255,white_matter_tracts,white_matter,hindbrain_white_matter,cerebellar_white_matter,white_matter
146,Inferior_Cerebellar_Peduncle,icp_oc_tz,24,255,0,255,white_matter_tracts,white_matter,hindbrain_white_matter,cerebellar_white_matter,white_matter
147,Cerebellar_White_Matter,cbw,0,232,255,255,white_matter_tracts,white_matter,hindbrain_white_matter,cerebellar_white_matter,white_matter
148,Lateral_Ventricle,LV,56,41,204,255,forebrain,ventricular_system,cerebrospinal_fluid,forebrain_CSF,white_matter
149,Cingulate_Cortex_Area_25,A25,41,204,103,255,forebrain,secondary_prosencephalon,isocortex,cingulate_cortex,white_matter
150,Dorsal_Acustic_Stria,das,41,116,204,255,white_matter_tracts,white_matter,pontine_hindbrain,axial_hindbrain_white_matter,white_matter
151,Postsubiculum,Post,204,108,41,255,forebrain,secondary_prosencephalon,medial_pallium,,white_matter
152,Ventricular_System_4thVentricle,4V,41,204,103,255,hindbrain,ventricular_system,cerebrospinal_fluid,hindbrain_CSF,white_matter
153,Microcellular_Tegmental_Nucleus,MiTg,41,116,204,255,hindbrain,prepontine_hindbrain,pontomedullary_hindbrain,isthmus,white_matter
154,Pretectal_Nucleus,Pretectal_Nucleus,41,204,103,255,forebrain,p1,diencephalon,pretectum,white_matter
155,Latero_Dorsal_Thalamic_Nucleus_Ventro_Lateral,LDVL,41,204,103,255,forebrain,diencephalon,thalamus,p2,white_matter
156,Latero_Posterior_Nuclei_of_Thalamus,LP,135,204,41,255,forebrain,diencephalon,thalamus,p2,white_matter
157,Anterior_Thalamic_Nuclei,Athal,41,116,204,255,forebrain,diencephalon,thalamus,p2,white_matter
158,Red_Nucleus_Magnocellular,RMC,41,204,63,255,midbrain,pretectal_tegmentum,m1,,white_matter
159,Pararubral_Nucleus,PaR,130,204,41,255,midbrain,p1,m1m2,midbrain_tegmentum,white_matter
160,Retro_Rubral_Field,Retro_Rubral_Field,41,204,103,255,hindbrain,prepontine_hindbrain,pontomedullary_hindbrain,isthmus,white_matter
161,CSF,CSF,135,204,41,255,ventricular_system,combo,CSF,,white_matter
162,Intermediate_Reticular_Nucleus,Intermediate_Reticular_Nucleus,41,116,204,255,hindbrain,pontine_hindbrain,pons,r1r2r9r6r7r8r10r3r4r5r11,white_matter
163,PHD_PaMP_Post_and_Lateral_Hypothalamus,PHD_PaMP_Post_and_Lateral_Hypothalamus,41,204,103,255,forebrain,secondary_prosencephalon,rostral_secondary_prosencephalon,hypothalamus,white_matter
164,Prerubral_Forel,Prerubral_Forel,135,204,41,255,forebrain,diencephalon,thalamus,p3p2,white_matter
165,PVG_of_Hypothalamus,PVG_of_Hypothalamus,41,116,204,255,forebrain,secondary_prosencephalon,rostral_secondary_prosencephalon,hypothalamus,white_matter
166,BLA_Basalateral_Amygdala,BLA_Basalateral_Amygdala,41,204,103,255,forebrain,secondary_prosencephalon,subpallium,subpallial_amygdala,white_matter